site,area,Lon,Lat,X_tm35fin,Y_tm35fin
AIL101,KIL,20.96411928,68.9698492,258601.20399232677,7662882.282202791
AIL102,KIL,20.980918319999997,68.97158481999999,259290.18981401727,7663008.9827212365
AIL103,KIL,20.99176436,68.96835105000001,259687.47187041587,7662607.344409779
AIL104,KIL,21.00295175,68.97164936,260169.63349812673,7662929.824560025
AIL105,KIL,21.010443850000005,68.97204859999998,260472.78177879076,7662944.879282856
AIL106,KIL,21.02016406,68.97326440999998,260873.6502375111,7663041.963830913
AIL107,KIL,21.03256976,68.97341173,261369.99814635474,7663010.001241342
AIL108,KIL,21.056665640000002,68.97150384999998,262310.39376251353,7662704.543509793
AIL109,KIL,21.06047269,68.97395429,262488.669129408,7662961.93575066
AIL110,KIL,21.070049800000003,68.97414417,262872.66647694167,7662945.962423623
AIL111,KIL,20.961915160000004,68.97494276999997,258569.13951886602,7663456.569241063
AIL112,KIL,20.97607284,68.9747298,259131.344956217,7663377.246685026
AIL113,KIL,20.98405721,68.97472888,259449.71813989722,7663345.804429176
AIL114,KIL,20.997859180000003,68.97708635999999,260025.78456100592,7663553.523572838
AIL115,KIL,21.0096906,68.97635239,260489.55316078727,7663425.761951875
AIL116,KIL,21.020466020000004,68.97354225999997,260888.70935562326,7663071.642425097
AIL117,KIL,21.037882720000006,68.97445969999997,261593.2306401799,7663105.719433333
AIL118,KIL,21.045081419999995,68.97600655999999,261897.03835852366,7663249.539690652
AIL119,KIL,21.063601080000005,68.97736033999998,262650.1496947545,7663328.096111054
AIL120,KIL,21.07174882,68.97823464999999,262984.45903531334,7663393.684250508
AIL121,KIL,20.959003220000003,68.97687015,258474.1695758124,7663682.058954739
AIL122,KIL,20.969618550000003,68.98054066,258937.60664393133,7664047.878038863
AIL123,KIL,20.983284909999995,68.97758323,259450.1060832714,7663665.801176029
AIL124,KIL,20.99711819,68.97980175,260025.8377797995,7663857.965165084
AIL125,KIL,21.011279950000002,68.97799155,260570.75266747765,7663601.586200919
AIL126,KIL,21.02320146,68.97825216000001,261048.91452609727,7663584.028285474
AIL127,KIL,21.03635602,68.97858444999997,261577.01319721417,7663569.729799722
AIL128,KIL,21.054637850000002,68.97922299,262312.8467987722,7663569.675118922
AIL129,KIL,21.059329149999996,68.97967169,262504.7378653971,7663601.331144275
AIL130,KIL,21.07478613,68.98035891,263128.4259603989,7663617.87043464
AIL131,KIL,20.961680790000003,68.98315539,258649.84184852123,7664369.452102853
AIL132,KIL,20.96820451,68.98280408999999,258906.02756354323,7664304.779427658
AIL133,KIL,20.991277510000003,68.98506915,259850.45830467387,7664465.768201726
AIL134,KIL,20.995583760000002,68.98537321000002,260025.4111978816,7664482.675185765
AIL135,KIL,21.013990330000002,68.98413808999999,260745.63166826265,7664273.5900642825
AIL136,KIL,21.02865239,68.98479466,261337.19536747708,7664289.368448068
AIL137,KIL,21.03462168,68.98644586,261593.02034559453,7664449.52125225
AIL138,KIL,21.05313017,68.98475185,262312.4383955841,7664189.541491195
AIL139,KIL,21.058610540000004,68.98480599999998,262531.4797442332,7664174.322775793
AIL140,KIL,21.07793967,68.98651525999999,263320.36519657966,7664289.425167416
AIL141,KIL,20.95495539,68.98578054,258410.58855231077,7664687.4409208065
AIL142,KIL,20.969930770000005,68.98675958999999,259018.14999808717,7664737.231816706
AIL143,KIL,20.97998491,68.98940841,259447.80165561926,7664991.89476146
AIL144,KIL,20.990997800000002,68.98750176000001,259865.85409539862,7664737.0006436175
AIL145,KIL,21.01309207,68.98786111,260750.3023813148,7664690.542218551
AIL146,KIL,21.025689240000005,68.98972644999999,261272.58894609733,7664848.596289859
AIL147,KIL,21.037536910000004,68.9876957,261722.74707758447,7664576.991287335
AIL148,KIL,21.052341810000005,68.99066408999998,262344.86940495146,7664849.195952705
AIL149,KIL,21.062711150000002,68.98943049999998,262744.7984711528,7664672.041221411
AIL150,KIL,21.069385030000003,68.98996124999998,263016.4941203027,7664705.178733798
AIL151,KIL,20.95521607,68.98923770999998,258458.926812834,7665070.30757608
AIL152,KIL,20.969394440000002,68.991637109999985,259050.1906061191,7665280.963459891
AIL153,KIL,20.98564735,68.99091562000001,259689.90766776982,7665137.063203265
AIL154,KIL,20.990258260000004,68.99309615999998,259897.43567982715,7665361.14439962
AIL155,KIL,21.007726800000004,68.99385609,260601.7134359344,7665377.232128596
AIL156,KIL,21.01824095,68.99350667999997,261016.8320665051,7665297.415340695
AIL157,KIL,21.033719490000003,68.99247225999997,261622.35498853546,7665122.289032552
AIL158,KIL,21.04973161,68.99329312,262269.2595629464,7665151.286935413
AIL159,KIL,21.05156038,68.99653506999998,262377.15026010707,7665504.240303366
AIL160,KIL,21.07225341,68.99725658,263209.3420996219,7665504.318778475
AIL161,KIL,20.954726010000005,68.99543112999999,258507.39111343378,7665759.971975229
AIL162,KIL,20.964048260000006,68.99792810999999,258906.13347570182,7666000.559248946
AIL163,KIL,20.97661204,68.99463331,259370.54798838324,7665585.3345414065
